,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
0,mocajuba,100.0,BR,1584243800.0,98.0,-2.58,-49.51,75.38,2.42
1,palabuhanratu,,,,,,,,
2,kapaa,20.0,US,1584243737.0,64.0,22.08,-159.32,77.0,13.87
3,hithadhoo,74.0,MV,1584243769.0,63.0,-0.6,73.08,83.25,5.37
4,itoman,75.0,JP,1584244038.0,48.0,26.12,127.67,64.4,17.22
5,atuona,28.0,PF,1584243862.0,67.0,-9.8,-139.03,82.47,8.03
6,victoria,20.0,HK,1584244041.0,49.0,22.29,114.16,75.99,6.93
7,novopetrovskoye,75.0,RU,1584244041.0,79.0,55.99,36.47,19.4,11.18
8,asau,90.0,RO,1584243946.0,59.0,46.43,26.4,36.0,14.99
9,punta arenas,99.0,CL,1584244043.0,67.0,-53.15,-70.92,57.2,16.11
10,le port,100.0,RE,1584243900.0,65.0,-20.94,55.29,77.0,3.36
11,rikitea,3.0,PF,1584243920.0,70.0,-23.12,-134.97,79.07,9.08
12,cape town,40.0,ZA,1584243969.0,72.0,-33.93,18.42,64.99,17.22
13,touros,20.0,BR,1584243834.0,94.0,-5.2,-35.46,77.0,4.7
14,bluff,100.0,NZ,1584243960.0,69.0,-46.6,168.33,66.99,1.99
15,cayenne,65.0,GF,1584244049.0,78.0,4.93,-52.33,78.8,5.82
16,safi,100.0,MA,1584244050.0,87.0,32.17,-8.83,52.57,4.45
17,ushuaia,40.0,AR,1584244050.0,58.0,-54.8,-68.3,53.6,6.93
18,narsaq,100.0,GL,1584244051.0,67.0,60.92,-46.05,21.2,1.12
19,albany,1.0,US,1584244051.0,77.0,42.6,-73.97,39.99,6.93
20,la ronge,75.0,CA,1584244047.0,65.0,55.1,-105.28,3.2,3.36
21,vaini,75.0,TO,1584243859.0,83.0,-21.2,-175.2,84.2,13.87
22,new norfolk,40.0,AU,1584243984.0,59.0,-42.78,147.06,63.0,17.22
23,puerto ayora,4.0,EC,1584244054.0,76.0,-0.74,-90.35,80.01,8.99
24,mataura,100.0,NZ,1584244054.0,69.0,-46.19,168.86,66.99,1.99
25,isangel,90.0,VU,1584244055.0,74.0,-19.55,169.27,87.8,11.41
26,bogorodskoye,98.0,RU,1584244055.0,64.0,56.55,37.88,22.73,11.92
27,torbay,75.0,CA,1584243782.0,85.0,47.67,-52.73,34.0,26.4
28,bor,39.0,RU,1584244056.0,100.0,56.36,44.07,33.01,2.24
29,nouakchott,40.0,MR,1584243873.0,88.0,18.09,-15.98,68.0,9.17
30,beaverlodge,20.0,CA,1584244059.0,58.0,55.22,-119.44,-5.8,2.24
31,blagoyevo,92.0,RU,1584244060.0,92.0,63.37,47.92,10.51,6.55
32,thompson,20.0,CA,1584243861.0,63.0,55.74,-97.86,-9.4,2.24
33,sarakhs,100.0,IR,1584244062.0,39.0,36.54,61.16,62.6,2.24
34,yellowknife,90.0,CA,1584244062.0,72.0,62.46,-114.35,10.4,8.05
35,hualmay,98.0,PE,1584244063.0,79.0,-11.1,-77.61,71.71,3.31
36,nikolskoye,55.0,RU,1584244063.0,57.0,59.7,30.79,21.2,8.95
37,tiarei,40.0,PF,1584244064.0,66.0,-17.53,-149.33,86.0,9.17
38,illoqqortoormiut,,,,,,,,
39,san patricio,69.0,MX,1584244065.0,80.0,19.22,-104.7,77.85,3.89
40,ketchikan,1.0,US,1584243789.0,59.0,55.34,-131.65,41.0,12.75
41,kattivakkam,40.0,IN,1584244066.0,74.0,13.22,80.32,84.0,2.24
42,hami,100.0,CN,1584244066.0,22.0,42.8,93.45,43.72,1.59
43,hermanus,100.0,ZA,1584244123.0,77.0,-34.42,19.23,63.0,7.0
44,mahebourg,75.0,MU,1584243860.0,94.0,-20.41,57.7,80.01,7.81
45,georgetown,20.0,MY,1584244124.0,70.0,5.41,100.34,89.6,3.36
46,ribeira grande,26.0,PT,1584244124.0,84.0,38.52,-28.7,55.63,4.79
